w0164421600	still	2022	We can still meet up on Sunday and go to the zoo.	日曜日に会って、動物園に行くことはまだできます。
w3008977763	spend	2021	We can spend 30 minutes for coffee and we’ll only spend one hour at the beach.	コーヒーに30分使って、ビーチでは1時間だけ過ごすことにしましょう。
w0205332138	remember	2026	I remember when I finished my time here at Johnston High School.	私がジョンストン高校での生活を終えたときのことを覚えています。
w0058127786	researcher	2026	Some researchers think dreams are just random brain activity with no real purpose.	夢は本当の目的のない、ただのランダムな脳の活動だと考える研究者もいます。
w3837309951	follow	2024	Just dial 1 to speak to the front desk or 1 followed by a room number to call another room directly.	フロントデスクに話すには1を、別の部屋に直接電話するには1の後に部屋番号をダイヤルしてください。
w2904911979	decide	2024	Question 1: When did the United States decide to send 3,000 dogwood trees to Japan?	問1：アメリカはいつ3,000本のハナミズキを日本に送ることを決めましたか。
w2481567601	able	2024	If you press 9, you’ll be able to call an external line.	9を押せば、外線に電話できるようになります。
w0283890379	however	2024	However, on weekends, it opens at the same time but closes two hours later.	しかし週末は、開く時間は同じですが、閉まるのは2時間遅くなります。
w2859261582	problem	2026	Was your brain trying to help you with a problem—or just having fun?	あなたの脳は問題を解くのを助けようとしていたのでしょうか。それとも、ただ楽しんでいただけなのでしょうか。
w1259937282	language	2021	Knowing a second language makes it easier to travel and make foreign friends.	第二言語を知っていると、旅行をしたり外国人の友達を作ったりしやすくなります。
w3964533471	brain	2026	During sleep, the brain moves information from short-term to long-term memory.	睡眠中、脳は情報を短期記憶から長期記憶へ移します。
w3683806439	save	2020	Welcome to this week’s episode of Save our Planet.	今週の「Save our Planet」のエピソードへようこそ。
w3974388967	miss	2023	After the rain, we managed to go on a few great hikes in the forest but we missed swimming in the lake.	雨の後、森ですばらしいハイキングを何度かすることができましたが、湖で泳げなかったのが残念でした。
w0988177482	yawn	2023	Sometimes animals yawn simply out of physical need— to increase oxygen levels.	動物は、酸素量を増やすという身体的な必要だけから、あくびをすることもあります。
w4262246793	mean	2023	Does this mean the same is true for animals when they do it?	では、動物がそれをするときも同じことが言えるのでしょうか。
w3436906927	change	2023	Would you like to change the green vegetables to French fries?	緑の野菜をフライドポテトに変えますか。
w3794505349	build	2024	Countries often exchange gifts to help build good relationships.	国々は良い関係を築くために、しばしば贈り物を交換します。
w0867591917	activity	2026	Some researchers think dreams are just random brain activity with no real purpose.	夢は本当の目的のない、ただのランダムな脳の活動だと考える研究者もいます。
w2862804934	order	2019	I also ordered naan bread, which is made fresh to order in a clay oven.	注文を受けてから土の窯で焼く、できたてのナンも注文しました。
w3535486491	worry	2019	We don’t have to worry about parking, and it takes only 20 minutes.	駐車の心配をする必要がなく、たった20分しかかかりません。
w3112530065	realize	2026	That trip made me realize how much I love travelling and learning about different cultures.	その旅行で、私は旅をすることや異なる文化について学ぶことがどれほど好きなのかに気づきました。
w2671495584	important	2026	But even this idea tells us something important: our brains are very active while we sleep.	しかし、この考えだけでも大切なことが分かります。私たちが眠っている間も脳はとても活発なのです。
w1544912019	though	2026	I’ll still do the other three things though.	でも、ほかの3つのことはやるつもりです。
w0966616227	different	2026	That trip made me realize how much I love travelling and learning about different cultures.	その旅行で、私は旅をすることや異なる文化について学ぶことがどれほど好きなのかに気づきました。
w0900193618	media	2021	They are able to watch foreign news and media without needing a translator to help them.	翻訳してくれる人を必要とせずに、外国のニュースやメディアを見ることができます。
w3057275123	allergy	2020	Now Brett is 13 years old and has learned to live with his allergy.	今ではブレットは13歳で、自分のアレルギーと共に生活することを学んでいます。
w0525278197	probably	2019	It’s probably faster than a taxi.	たぶんタクシーより速いです。
w2922599565	become	2021	Studying a second language is also a great way to become more confident.	第二言語を学ぶことは、より自信を持つためのすばらしい方法でもあります。
w1709605830	experiment	2020	I had an art class and did a cool experiment in science class.	美術の授業を受け、理科の授業ではおもしろい実験をしました。
