w2655853568	perfect	2023	Fish and lizards are perfect examples of animals that do this.	魚やトカゲは、これをする動物のまさに典型的な例です。
w1003341186	forget	2026	Don’t forget – we need to meet the group 30 minutes before the museum opens.	忘れないでください。博物館が開く30分前にグループと集合する必要があります。
w1223385023	physical	2023	Sometimes animals yawn simply out of physical need— to increase oxygen levels.	動物は、酸素量を増やすという身体的な必要だけから、あくびをすることもあります。
w2350990696	continue	2019	I hope that the school continues to do well and here’s to the next 100 years!	学校がこれからも順調に発展していくことを願っています。そして次の100年に乾杯しましょう。
w2120688765	information	2026	During sleep, the brain moves information from short-term to long-term memory.	睡眠中、脳は情報を短期記憶から長期記憶へ移します。
w4260173320	social	2023	Social animals, like chimpanzees or lions, yawn to decide who has the higher rank in their social groups.	チンパンジーやライオンのような社会性のある動物は、社会集団の中でどちらの順位が高いかを決めるためにあくびをします。
w3260909020	reward	2024	The bees did not try to get sugary rewards by rolling the balls.	ミツバチは、ボールを転がして甘い報酬を得ようとはしませんでした。
w2758397703	behavior	2023	The researchers are glad they have learned about the rescue behavior of magpies.	研究者たちは、カササギの救助行動について知ることができて喜んでいます。
w2212403375	ransom	2025	He was angry as his father didn’t agree to pay the ransom.	父親が身代金を払うことに同意しなかったので、彼は怒っていました。
w4034267633	membership	2020	We’ll then send you your membership card by post within a week.	その後、1週間以内に会員カードを郵送します。
w2116213689	discount	2020	Well, since you get a big discount, why don’t you get the $100 tickets?	大きな割引が受けられるのだから、100ドルのチケットにしてはどうですか。
w2638521315	damage	2021	But attracting more fish may be helpful to cure damaged reefs.	しかし、より多くの魚を引き寄せることは、傷んだサンゴ礁を回復させるのに役立つかもしれません。
w0932727240	suddenly	2020	Suddenly, the dog noticed something unusual was happening and went to the room.	突然、その犬は何か異常が起きていることに気づき、その部屋へ行きました。
w3296834125	notice	2024	The other girls did not notice Yollie’s problem.	ほかの女の子たちはヨリーの問題に気づきませんでした。
w2672450247	angry	2025	He was angry as his father didn’t agree to pay the ransom.	父親が身代金を払うことに同意しなかったので、彼は怒っていました。
w0467621901	enough	2021	Oh, we actually have to buy two computer games, so we don’t have enough money after all.	ああ、実はコンピューターゲームを2つ買わなければならないので、やはりお金が足りません。
w1752782024	allergic	2020	Patients are closely watched all the time for signs of an allergic reaction.	患者はアレルギー反応の兆候がないか、常に注意深く見守られます。
w0036538317	amount	2020	For many, a very small amount of peanut can trigger a reaction called anaphylaxis.	多くの人にとって、ごく少量のピーナッツでもアナフィラキシーと呼ばれる反応を引き起こすことがあります。
w3358146421	research	2022	In this research, 80 young adults between the ages of 18 and 26 joined the experiment.	この研究には、18歳から26歳までの若者80人が参加しました。
w3606273688	university	2026	We both wanted to relax and do something fun before starting university.	私たちは二人とも、大学が始まる前にリラックスして楽しいことをしたいと思っていました。
w2421929276	mind	2021	Learning a second language is good for your mind.	第二言語を学ぶことは、頭に良いことです。
w2073635916	almost	2025	I tried almost every food sold at the park!	私はその公園で売られていた食べ物をほとんど全部試しました。
w3237309813	usually	2025	Their communities are close, with families usually marrying other Quechua-speakers.	彼らの共同体は結びつきが強く、家族はたいてい他のケチュア語話者と結婚します。
w1177276566	single	2019	We can offer you a single room with an amazing sea view.	すばらしい海の眺めがあるシングルルームをご用意できます。
w3743257728	modern	2021	Yes, it definitely would be difficult to imagine modern life without computers.	はい、コンピューターのない現代生活を想像するのは間違いなく難しいでしょう。
w2504111414	statement	2019	Question 2: Which one of the following statements is not true about the school?	問2：次の記述のうち、その学校について正しくないものはどれですか。
w0523797718	easily	2024	My dad needs a large one, but white will get dirty easily.	父には大きいものが必要ですが、白は汚れやすいです。
w2720250558	reply	2019	“We still have the other two wishes,” she replied quickly.	「まだ願いがあと2つあるわ」と彼女はすぐに答えました。
w1432116619	body	2021	Lencho went outside to feel the rain on his body.	レンチョは雨を体に感じるために外へ出ました。
w3382733468	imagine	2021	Yes, it definitely would be difficult to imagine modern life without computers.	はい、コンピューターのない現代生活を想像するのは間違いなく難しいでしょう。
w3363108909	disappoint	2019	White were very disappointed that their second wish did not come true.	ホワイト夫妻は、2つ目の願いがかなわなかったことにとてもがっかりしました。
