w0261769441	kid	2025	I took the knife from the kid and made him lie down again.	私はその子どもからナイフを取り上げ、もう一度横になるようにさせました。
w0776992823	bird	2023	They are medium-sized black and white birds from the same bird “family” as crows.	彼らはカラスと同じ鳥の「仲間」に属する、中くらいの大きさの白黒の鳥です。
w1358646164	ant	2026	Instead, each ant gave a little help in choosing the direction.	その代わり、それぞれのアリが進む方向を選ぶのに少しずつ助けました。
w3073323425	dress	2024	Then, slowly and carefully, she lowered the dress into the bucket.	それから彼女は、ゆっくり慎重にドレスをバケツの中へ沈めました。
w1495606000	wish	2025	I just wish mountain biking wasn’t so dangerous.	マウンテンバイクがそんなに危険でなければいいのにと思います。
w1094248838	lot	2025	Today was fun, but we spent a lot of money!	今日は楽しかったけれど、たくさんお金を使いました。
w3142606148	layer	2022	Many animals live in this layer since food is easy to find.	食べ物を見つけやすいので、多くの動物がこの層に住んでいます。
w2936934270	hunt	2020	One day, the hunter’s wife was not at home, and the hunter had to go out to hunt.	ある日、猟師の妻は家におらず、猟師は狩りに出かけなければなりませんでした。
w2343005169	uniform	2025	Girls were much less active than boys in primary schools that had a uniform policy.	制服の方針がある小学校では、女子は男子よりずっと活動的ではありませんでした。
w4207287906	ball	2024	I also got this rubber ball for $5, this $15 collar, and this big bone for $10.	この5ドルのゴムボールと、15ドルの首輪、それから10ドルの大きな骨も買いました。
w0903117841	dream	2026	Question 1: What does the woman suggest people do after having a strange dream?	問1：女性は、奇妙な夢を見た後に何をするよう勧めていますか。
w3291479961	last	2026	Did you hang up the last poster for our dance performance?	ダンス公演の最後のポスターは貼りましたか。
w1002557810	cannot	2021	“Shall we just tell the man that the letter cannot be delivered?”	「その手紙は配達できないと、その人に伝えるだけにしようか。」
w3982150189	grandmother	2023	Then he found your grandmother on the floor and called the ambulance.	その後、彼はあなたのおばあさんが床に倒れているのを見つけ、救急車を呼びました。
w1520682771	trash	2020	No one knows exactly when the Pacific Trash Vortex began to form.	Pacific Trash Vortexがいつ形成され始めたのか、正確には誰にも分かりません。
w0039872139	mountain	2025	Why did we allow him to get another mountain bike?	なぜ私たちは彼がまたマウンテンバイクを手に入れるのを許したのでしょうか。
