w1414457694	globally	2021	Globally, we send nearly 281 billion emails every day.	世界全体では、毎日ほぼ2,810億通のメールを送っています。
w0912582030	contain	2022	Did you know that rainforests cover six percent of the Earth's surface and contain over half of the world's plant and animal species?	熱帯雨林は地球表面の6％を覆い、世界の動植物種の半分以上を含んでいることを知っていますか。
w0406111755	marry	2025	Their communities are close, with families usually marrying other Quechua-speakers.	彼らの共同体は結びつきが強く、家族はたいてい他のケチュア語話者と結婚します。
w2258776515	equipment	2022	A (g ) is a room or hall with equipment for doing physical exercise, for example in a school.	(g )とは、例えば学校にあるような、運動をするための器具を備えた部屋やホールのことです。
w2926789869	therefore	2022	Therefore, she had decided to kill a tiger herself and bring home its skin.	そのため彼女は、自分でトラを殺してその毛皮を持ち帰ることに決めました。
w2830617771	chance	2019	We have a good chance of discovering something new.	私たちには何か新しいものを発見できる十分な可能性があります。
w3225557531	compare	2022	The scientists compared the results to a survey the participants had answered before the experiment.	科学者たちは、その結果を、参加者が実験前に答えていた調査と比較しました。
w3115810442	situation	2022	It could be because they find it hard in many situations to stay focused.	それは、多くの状況で集中し続けることが難しいと感じるからかもしれません。
w3914600884	attend	2019	Question 1: In what year were girls allowed to attend the school?	問1：女子がその学校に通うことを認められたのは何年ですか。
w1398658835	prefer	2019	Well, if possible, I’d prefer a room with a sea view.	できれば海の見える部屋のほうがいいのですが。
w2726987804	detail	2024	Now, I just need to go through some final details with you.	では、最後の細かい点をいくつか確認する必要があります。
w1680176889	event	2023	A (c ) is a formal event that is performed on important social or religious occasions.	(c )とは、重要な社会的または宗教的な機会に行われる正式な行事です。
w0288940764	environment	2023	The scientists were [ 1 ] that magpies might [ 2 ] a hard [ 3 ] living in a [ 4 ] environment caused by climate change.	気候変動が理由で、より暖かくなってきた環境の中で、マグパイが生きていくのに苦労をするかもしれないことを科学者たちは心配していました。
w1034761740	directly	2024	Just dial 1 to speak to the front desk or 1 followed by a room number to call another room directly.	フロントデスクに話すには1を、別の部屋に直接電話するには1の後に部屋番号をダイヤルしてください。
