w91045517504731	insurance	2026	Then she remembered his life insurance—$25,000, doubled for accidents.	すると彼女は彼の生命保険のことを思い出しました。2万5千ドルで、事故の場合は倍額です。
w90040790222046	intelligence	2023	did better than us by using their intelligence	知能を使って私たちよりうまくやった
w91043478004007	intelligent	2020	Once upon a time, a hunter had a very intelligent dog.	昔々、ある猟師がとても賢い犬を飼っていました。
w90539649402218	interview	2022	Therefore, Mrs Packletide was able to answer questions with a light heart when journalists came to interview her.	そのためミセス・パクルタイドは、記者たちが取材に来たときも、気楽な気持ちで質問に答えることができました。
w91014910693399	introduce	2026	However, with more ants introduced into the group, the group made better decisions.	しかし、より多くのアリを群れに加えると、群れはより良い決断を下しました。
w90800044294421	investigate	2024	To investigate further, the researchers conducted a new experiment.	さらに詳しく調べるため、研究者たちは新しい実験を行いました。
w90047932455525	join	2021	I will join the volleyball club to make new friends.	新しい友達を作るために、バレーボール部に入ります。
w90388593909618	keep	2023	I would like to keep the nicer speakers.	もっと良いスピーカーをそのまま使いたいです。
w90777012310821	knowledge	2026	They use their own knowledge and signals from others in the group to decide together.	彼らは自分自身の知識と群れのほかの仲間からの合図を使って、一緒に決めます。
w90161422132044	learn	2025	Today, we'll learn about the Incas.	今日はインカについて学びます。
w90946806707485	leave	2026	By what time does the man have to leave his house?	男性は何時までに家を出なければなりませんか。
w90557732906546	legitimate	2023	“There is no way that the wish machine is legitimate,” Benny laughed and went to have a shower.	「その願いをかなえる機械が本物であるはずがないよ」とベニーは笑い、シャワーを浴びに行きました。
w90998727912132	location	2021	At the first location, they did nothing.	最初の場所では、彼らは何もしませんでした。
w90834708789355	maintenance	2025	He’s very skilled, so he’ll be fine, but paying for bike maintenance is also expensive.	彼はとても上手なので大丈夫でしょう。でも、自転車のメンテナンス代も高いです。
w90481385656462	medical	2020	His school keeps a medical device called an EpiPen in the front office.	彼の学校では、EpiPenという医療器具を事務室に備えています。
w91052053215607	mistake	2022	I mentioned my mistake to her.	私は自分の間違いを彼女に話しました。
w90538738668736	mobile	2024	Besides, I’m afraid students might start playing mobile games during break time.	それに、休み時間に生徒たちが携帯ゲームを始めるかもしれないのが心配です。
w91065382404164	move	2022	This layer is the quietest layer as animals move around in the dark making little noise.	動物が暗闇の中でほとんど音を立てずに動き回るため、この層は最も静かな層です。
w90119427254340	movement	2022	During this experiment, the scientists measured the brain activity and checked the eye movements of each participant.	この実験中、科学者たちは脳の活動を測定し、各参加者の目の動きを調べました。
w90867016001562	often	2023	Now humans often yawn when they are bored or tired.	今では、人間は退屈なときや疲れているときによくあくびをします。
w90263771758115	online	2021	Google, the online search engine, processes 70,000 search questions every second.	オンライン検索エンジンのGoogleは、毎秒7万件の検索質問を処理しています。
w90727431069905	original	2023	But now they need to figure out a good way to track these birds and try again to complete their original research.	しかし今、研究者たちはこれらの鳥を追跡する良い方法を考え出し、元の研究を完了するためにもう一度試す必要があります。
w90229010567463	own	2026	I hope I can go back one day and I hope you might also consider having a similar adventure of your own.	いつかまた戻れたらと思いますし、あなたも同じような冒険をしてみようと考えてくれたらうれしいです。
w91071520037954	participation	2025	They should remove any barriers to participation.”	参加を妨げるものはすべて取り除くべきです。」
w90218282905337	pay	2020	Okay, I’ll pay for them with cash now.	分かりました。今、現金で支払います。
w90995764999998	period	2023	They open their mouths very widely and stay that way for a long period of time.	彼らは口をとても大きく開き、その状態を長い時間保ちます。
w90959366211223	plan	2021	I also changed my plan – I went to Rome instead!	私も予定を変えて、代わりにローマへ行きました。
w90519034491682	point	2020	By becoming a member, you can use points as cash.	会員になると、ポイントを現金として使えます。
w90137843854166	policy	2025	Girls were much less active than boys in primary schools that had a uniform policy.	制服の方針がある小学校では、女子は男子よりずっと活動的ではありませんでした。
w90073242874760	poor	2020	That’s too expensive for poor students like me and my friend.	それは私や友達のような貧しい学生には高すぎます。
w90187539287536	poverty	2023	I find you in poverty.	あなたが貧しい暮らしをしているのが分かります。
w90707814250665	previous	2024	In a previous study, researchers trained bees to play soccer with wooden balls and gave the bees rewards for scoring goals.	以前の研究で、研究者たちはミツバチに木のボールでサッカーをする訓練をし、ゴールを決めると報酬を与えました。
w90809127982654	private	2022	Loona Bimberton had recently travelled to Africa in a private airplane and talked only about her great adventure.	ルーナ・ビンバートンは最近、自家用飛行機でアフリカへ旅行し、そのすばらしい冒険の話ばかりしていました。
w90696255708137	project	2025	Bill and I needed $2,000 to start a new project in another town, but we were short on cash.	ビルと私は別の町で新しい事業を始めるために2,000ドル必要でしたが、現金が足りませんでした。
w90797637859869	promotion	2019	Oh yes, I saw that the supermarket has a special meat promotion today.	ああ、そうだ。スーパーで今日は肉の特売をしているのを見ました。
w90091709644830	protection	2020	“It’s bite-proof protection,” Sindher said.	「かまれても破れない保護具です」とシンダーは言いました。
w90704862921969	public	2021	On the public writing table, he started to write a letter.	公共の筆記台で、彼は手紙を書き始めました。
w90266530368406	quality	2023	This brand had the best sound quality.	このブランドは音質が一番良かったです。
w91085232718439	raise	2019	He finally raised his hands and said, “I wish my son alive again.”	彼はついに両手を上げ、「息子がもう一度生き返りますように」と言いました。
w90806292480853	range	2023	Animals yawn for a wide range of reasons.	動物はさまざまな理由であくびをします。
w90345772388153	rank	2023	Social animals, like chimpanzees or lions, yawn to decide who has the higher rank in their social groups.	チンパンジーやライオンのような社会性のある動物は、社会集団の中でどちらの順位が高いかを決めるためにあくびをします。
w90596106265866	reach	2023	The bus takes 20 minutes to reach the train station and the train journey is two hours.	バスで駅まで20分かかり、列車の移動は2時間です。
